UserID;Age;Gender;Race;Province;Channel2;record_date;record_time;Hour_SA;Day_Name;Time_bucket;Month_name;Duration_Seconds;Age_group
903994;33;male;coloured;Western Cape;Trace TV;2016/01/04;20:09:00;20;Monday;Evening;January;120;26-35
802352;0;None;None;None;ICC Cricket World Cup 2011;2016/03/30;11:04:00;11;Wednesday;Late Morning;March;606;Under 18
866125;30;male;indian_asian;Gauteng;ICC Cricket World Cup 2011;2016/03/30;19:01:00;19;Wednesday;Evening;March;42;26-35
2425604;51;female;white;Gauteng;ICC Cricket World Cup 2011;2016/03/25;17:23:00;17;Friday;Late Afternoon;March;10;50+
793571;9;female;white;Eastern Cape;SawSee;2016/02/02;19:18:00;19;Tuesday;Evening;February;93;Under 18
793571;9;female;white;Eastern Cape;Boomerang;2016/03/18;18:56:00;18;Friday;Late Afternoon;March;10;Under 18
793571;9;female;white;Eastern Cape;Channel O;2016/03/20;06:25:00;6;Sunday;Early Morning;March;1035;Under 18
793571;9;female;white;Eastern Cape;Boomerang;2016/02/03;08:43:00;8;Wednesday;Early Morning;February;73;Under 18
819248;0;None;None;None;Channel O;2016/03/31;12:01:00;12;Thursday;Late Morning;March;285;Under 18
820321;26;male;indian_asian;Kwazulu Natal;Cartoon Network;2016/01/09;10:25:00;10;Saturday;Late Morning;January;40;26-35
892453;34;male;indian_asian;Gauteng;Supersport Live Events;2016/03/24;11:09:00;11;Thursday;Late Morning;March;6;26-35
892453;34;male;indian_asian;Gauteng;ICC Cricket World Cup 2011;2016/03/26;17:33:00;17;Saturday;Late Afternoon;March;18072;26-35
828799;38;male;None;Mpumalanga;Channel O;2016/02/28;10:09:00;10;Sunday;Late Morning;February;0;36-50
787656;26;male;black;Gauteng;Channel O;2016/02/15;10:40:00;10;Monday;Late Morning;February;675;26-35
939566;29;male;None;Mpumalanga;Supersport Live Events;2016/01/09;17:40:00;17;Saturday;Late Afternoon;January;1322;26-35
771778;21;male;black;Eastern Cape;Supersport Live Events;2016/02/05;15:47:00;15;Friday;Early Afternoon;February;252;18-25
808915;37;male;black;Kwazulu Natal;SuperSport Blitz;2016/02/20;07:34:00;7;Saturday;Early Morning;February;74;36-50
808915;37;male;black;Kwazulu Natal;Supersport Live Events;2016/02/21;15:45:00;15;Sunday;Early Afternoon;February;50;36-50
808916;43;male;None;Western Cape;E! Entertainment;2016/02/19;13:03:00;13;Friday;Early Afternoon;February;102;36-50
